Strains 	Morphologycal Sections
Acaryochloris marina MBIC11017	(I) Unicellular
"
Acaryochloris thomasi RCC1774"	(I) Unicellular
Aliterella atlantica CENA595	(I) Unicellular
Alkalinema sp. CACIAM 70d	(III) Filamentous
Allocoleopsis franciscana PCC 7113	(III) Filamentous
Anabaena azotica FACHB-119	(IV) Heterocystous
Anabaena cylindrica PCC 7122	(IV) Heterocystous
Anabaena sp. 90	(IV) Heterocystous
Anabaena sp. PCC 7108	(IV) Heterocystous
Anabaenopsis circularis NIES-21	(IV) Heterocystous
Anthocerotibacter panamensis C109	(I) Unicellular
Aphanizomenon flos-aquae NIES-81	(IV) Heterocystous
Synechococcus spongiarum (Aphanocapsa feldmannii 277cV)	(I) Unicellular
Arthrospira platensis NIES-39	(III) Filamentous
Baaleninema simplex PCC 7105	(III) Filamentous
Calothrix brevissima NIES-22	(IV) Heterocystous
Calothrix parasitica NIES-267	(IV) Heterocystous
Calothrix rhizosoleniae SC01	(IV) Heterocystous
Calothrix sp. 336/3	(IV) Heterocystous
Calothrix sp. PCC 6303	(IV) Heterocystous
Calothrix sp. PCC 7507	(IV) Heterocystous
Candidatus Atelocyanobacterium thalassa isolate ALOHA	(I) Unicellular
Candidatus Atelocyanobacterium thalassa isolate SIO64986	(I) Unicellular
Candidatus Synechococcus spongiarum SH4	(I) Unicellular
Chamaesiphon minutus PCC 6605	(I) Unicellular
Chamaesiphon polymorphus CCALA 037	(I) Unicellular
Chlorogloeopsis fritschii PCC 6912	(V) Ramified
Chondrocystis sp. NIES-4102	(II) Baeocystous
Chroococcidiopsis cubana SAG 39.79	(II) Baeocystous
Chroococcidiopsis sp. CCMEE 29	(II) Baeocystous
Chroococcidiopsis sp. FACHB-1243	(II) Baeocystous
Chroococcidiopsis sp. TS-821	(II) Baeocystous
Chroococcidiopsis thermalis PCC 7203	(II) Baeocystous
Chroococcus sp. FPU101	(I) Unicellular
Chroogloeocystis siderophila 5.2 s.c.1	(II) Baeocystous
Coleofasciculus chthonoplastes PCC 7420	(III) Filamentous
Crinalium epipsammum PCC 9333	(III) Filamentous
Crocosphaera chwakensis CCY0110	(I) Unicellular
Crocosphaera subtropica ATCC 51142	(I) Unicellular
Crocosphaera watsonii WH 8501	(I) Unicellular
Crocosphaera watsonii WH 8502	(I) Unicellular
Cyanobacterium aponinum PCC 10605	(I) Unicellular
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	(I) Unicellular
cyanobacterium PCC 7702	(V) Ramified
Cyanobacterium stanieri PCC 7202	(I) Unicellular
Cyanobium gracile PCC 6307	(I) Unicellular
Cyanobium sp. PCC 7001	(I) Unicellular
Cyanobium usitatum str. Tous	(I) Unicellular
Cylindrospermopsis raciborskii CS505	(IV) Heterocystous
Cylindrospermum stagnale PCC 7417	(IV) Heterocystous
Dactylococcopsis salina PCC 8305	(I) Unicellular
Desertifilum sp. IPPAS B-1220	(III) Filamentous
Dolichospermum circinale AWQC310F	(IV) Heterocystous
Dolichospermum compactum NIES-806	(IV) Heterocystous
Euhalothece natronophila Z-M001	(I) Unicellular
filamentous cyanobacterium ESFC-1	(III) Filamentous
Fischerella muscicola PCC 7414	(V) Ramified
Fischerella muscicola SAG 1427-1 = PCC 73103	(V) Ramified
Fischerella sp. CENA71	(V) Ramified
Fischerella sp. NIES-3754	(V) Ramified
Fischerella sp. NIES-4106	(V) Ramified
Fischerella sp. PCC 9431	(V) Ramified
Fischerella sp. PCC 9605	(V) Ramified
Fischerella thermalis CCMEE 5201	(V) Ramified
Fischerella thermalis CCMEE 5268	(V) Ramified
