Strain 	NCBI assembly	BUSCO Completeness
Acinetobacter sp. CAG:196	GCA_000433235.1	36.7
Bacillus subtilis subsp. subtilis str. 168	GCF_000009045.1	44.9
Candidatus Gastranaerophilales bacterium HUM_12	GCA_002102825.1	35.3
Candidatus Gastranaerophilales bacterium HUM_3	GCA_002102975.1	37.5
Candidatus Melainabacteria bacterium MEL.A1	GCA_001765415.1	37.9
Chloroflexus aurantiacus J-10-fl	GCF_000018865.1	40.5
Clostridium sp. CAG:306	GCA_000431555.1	36.5
Heliomicrobium modesticaldum Ice1	GCF_000019165.1	46.8
