Strains 	NCBI assembly	BUSCO Completeness
Acaryochloris marina MBIC11017	GCF_000018105.1	98.9
"
Acaryochloris thomasi RCC1774"	GCF_003231495.1	98.2
Aliterella atlantica CENA595	GCF_000952155.1	95.3
Alkalinema sp. CACIAM 70d	GCA_002148405.1	99.1
Allocoleopsis franciscana PCC 7113	GCF_000317515.1	99.4
Anabaena azotica FACHB-119	GCF_014697625.1	99.3
Anabaena cylindrica PCC 7122	GCF_000317695.1	99.7
Anabaena sp. 90	GCF_000312705.1	99.2
Anabaena sp. PCC 7108	GCF_000332135.1	99.5
Anabaenopsis circularis NIES-21	GCF_002367975.1	100
Anthocerotibacter panamensis C109	GCF_018389385.1	88.6
Aphanizomenon flos-aquae NIES-81	GCF_000521175.1	99.6
Synechococcus spongiarum (Aphanocapsa feldmannii 277cV)	"
GCA_004768415.1"	92.1
Arthrospira platensis NIES-39	GCF_000210375.1	99
Baaleninema simplex PCC 7105	GCF_000332355.1	92.6
Calothrix brevissima NIES-22	GCF_002367995.1	99.5
Calothrix parasitica NIES-267	GCF_002368095.1	99.3
Calothrix rhizosoleniae SC01	GCF_900185595.1	98.2
Calothrix sp. 336/3	GCF_000734895.2	99.8
Calothrix sp. PCC 6303	GCF_000317435.1	99.8
Calothrix sp. PCC 7507	GCF_000316575.1	99.8
Candidatus Atelocyanobacterium thalassa isolate ALOHA	GCF_000025125.1	73
Candidatus Atelocyanobacterium thalassa isolate SIO64986	GCA_000737945.1	73.2
Candidatus Synechococcus spongiarum SH4	GCF_000586015.1	71
Chamaesiphon minutus PCC 6605	GCF_000317145.1	97.7
Chamaesiphon polymorphus CCALA 037	GCF_003003845.1	88.4
Chlorogloeopsis fritschii PCC 6912	GCF_000317285.1	99.4
Chondrocystis sp. NIES-4102	GCF_002368355.1	99.1
Chroococcidiopsis cubana SAG 39.79	GCF_003991895.1	98.7
Chroococcidiopsis sp. CCMEE 29	GCF_023558375.1	99.1
Chroococcidiopsis sp. FACHB-1243	GCF_014696895.1	99.3
Chroococcidiopsis sp. TS-821	GCF_002939305.1	99.3
Chroococcidiopsis thermalis PCC 7203	GCF_000317125.1	99.5
Chroococcus sp. FPU101	GCF_017312365.1	97.3
Chroogloeocystis siderophila 5.2 s.c.1	"	GCF_001904655.1"	99.1
Coleofasciculus chthonoplastes PCC 7420	GCF_000155555.1	98.4
Crinalium epipsammum PCC 9333	GCF_000317495.1	99.4
Crocosphaera chwakensis CCY0110	GCF_000169335.1	99
Crocosphaera subtropica ATCC 51142	"
GCF_000017845.1"	99
Crocosphaera watsonii WH 8501	GCF_000167195.1	96.2
Crocosphaera watsonii WH 8502	GCF_001039555.1	94.6
Cyanobacterium aponinum PCC 10605	GCF_000317675.1	99
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	GCF_000829235.1	83.7
cyanobacterium PCC 7702	GCF_000332255.1	99.6
Cyanobacterium stanieri PCC 7202	GCA_000317655.1	98.3
Cyanobium gracile PCC 6307	GCF_000316515.1	99.1
Cyanobium sp. PCC 7001	GCF_000155635.1	99
Cyanobium usitatum str. Tous	GCF_003011885.1	98.3
Cylindrospermopsis raciborskii CS505	GCF_001676585.1	98.7
Cylindrospermum stagnale PCC 7417	GCF_000317535.1	99.9
Dactylococcopsis salina PCC 8305	GCF_000317615.1	99.3
Desertifilum sp. IPPAS B-1220	GCF_001746915.1	99.6
Dolichospermum circinale AWQC310F	GCF_000426925.1	98.8
Dolichospermum compactum NIES-806	GCF_002368115.1	99.3
Euhalothece natronophila Z-M001	GCF_007904085.1	98.2
filamentous cyanobacterium ESFC-1	GCA_000380225.1	98.7
Fischerella muscicola PCC 7414	GCF_000317205.1	99.9
Fischerella muscicola SAG 1427-1 = PCC 73103	GCF_000317245.1	99.2
Fischerella sp. CENA71	GCA_024239075.1	99.9
Fischerella sp. NIES-3754	GCF_001548455.1	99.8
Fischerella sp. NIES-4106	GCF_002368315.1	100
Fischerella sp. PCC 9431	GCF_000447295.1	99.8
Fischerella sp. PCC 9605	GCF_000517105.1	99.9
Fischerella thermalis CCMEE 5201	GCF_002870785.1	99.4
Fischerella thermalis CCMEE 5268	GCF_002870565.1	99.5
Fischerella thermalis CCMEE 5318	GCF_002870675.1	98.4
Fischerella thermalis JSC-11	GCF_000231365.2	100
Fortiea contorta PCC 7126	GCF_000332295.1	99.8
Geitlerinema sp. PCC 7407	GCF_000317045.1	99.2
Geitlerinema sp. PCC 9228	GCF_001870905.1	98.3
Geminocystis herdmanii PCC 6308	GCF_000332235.1	99.1
Gloeobacter kilaueensis JS1	GCF_000484535.1	90.4
Gloeobacter morelensis MG652769	"
GCF_021018745.1"	92.3
Gloeobacter violaceus PCC 7421	GCF_000011385.1	92.1
Gloeocapsa sp. PCC 73106	GCF_000332035.1	97.3
Gloeocapsa sp. PCC 7428	GCF_000317555.1	99.2
Gloeocapsopsis crepidinum LEGE 06123	GCF_015207655.1	99.5
Gloeocapsopsis dulcis AAB1 = 1H9	GCF_002964865.1	99.4
Gloeocapsopsis sp. IPPAS B-1203	GCF_002749975.1	98.9
Gloeomargarita lithophora Alchichica-D10	GCF_001870225.1	93.7
Gloeomargarita sp. SKYB120	"
GCA_025062155.1"	88.8
Gloeomargarita(Gloeomargaritales cyanobacterium VI4D9)	GCA_022206215.1	94.9
Gloeothece citriformis PCC 7424	GCF_000021825.1	99.5
Gloeothece verrucosa PCC 7822	GCF_000147335.1	99.3
Halomicronema hongdechloris C2206	GCF_002075285.3	97.8
Halothece sp. PCC 7418	GCF_000317635.1	99.1
Hydrococcus sp. CRU_1_1	GCA_012034135.1	86.3
Hyella patelloides LEGE 07179	GCF_900659865.1	97.6
Kamptonema formosum PCC 6407	GCF_000332155.1	98.9
Leptolyngbya boryana IAM M-101	GCF_002142475.1	99.5
Leptolyngbya ohadii IS1	GCF_002215035.1	98.7
Leptolyngbya sp. BL0902	GCF_016403105.1	99.3
Leptolyngbya sp. 'hensonii'	GCF_001939115.1	97
Leptolyngbya sp. KIOST-1	GCF_000763385.1	99
Leptolyngbya sp. PCC 6406	GCF_000332095.2	98.9
Leptolyngbyaceae cyanobacterium JSC-12	GCA_000309945.1	99.3
Limnospira indica PCC 8005	GCF_000973065.1	98.7
Limnothrix rosea IAM M-220	GCF_001904615.1	98
Lusitaniella coriacea LEGE 07157	GCF_015207425.1	99.4
Lyngbya aestuarii BL J	GCF_000478195.2	98.8
Mastigocladopsis repens PCC 10914	GCF_000315565.1	99.7
Mastigocladus laminosus UU774	GCF_001990805.2	99.1
Mastigocoleus testarum BC008	GCF_001456025.1	98.8
Microcystis aeruginosa NIES-88	GCF_001578075.1	99.2
Moorena producens 3L	GCF_000211815.1	97.4
Myxosarcina sp. GI1	GCF_000756305.1	99.5
Neosynechococcus sphagnicola sy1	GCF_000775285.1	82.8
Nodosilinea nodulosa PCC 7104	GCF_000309385.1	98.8
Nodularia spumigena CCY9414	GCF_000169135.1	96.6
Nodularia spumigena UHCC 0039	GCF_003054475.1	99.3
Nostoc azollae' 0708	GCF_000196515.1	98.5
Nostoc flagelliforme CCNUN1	GCF_002813575.1	99.8
Nostoc punctiforme PCC 73102	GCF_000020025.1	99.7
Nostoc sp. NIES-3756	GCF_001548375.1	99.8
Nostoc sp. PCC 7120 = FACHB-418	GCF_000009705.1	99.6
Nostoc sp. PCC 7524	GCF_000316645.1	99.8
Nostoc spongiaeforme FACHB-130	GCF_014698475.1	99.8
Nostocales cyanobacterium HT-58-2	GCA_002163975.1	99.8
Oscillatoria acuminata PCC 6304	GCF_000317105.1	99.1
Oscillatoria nigro-viridis PCC 7112	GCF_000317475.1	99.5
Oscillatoria sp. PCC 10802	GCF_000332335.1	99.6
Parasynechococcus marenigrum WH 8102	GCF_000195975.1	98.7
Phormidesmis priestleyi BC1401	GCF_001650195.1	99.9
Phormidium lacuna HE10JO	GCA_900149785.2	99.4
Phormidium tenue NIES-30	GCF_001904775.1	99.2
Planktothricoides sp. SR001	GCF_001276715.1	99.5
Planktothrix rubescens NIVA-CYA 407	GCF_000464785.1	99
Pleurocapsa sp. PCC 7319	GCF_000332195.1	99.4
Pleurocapsa sp. PCC 7327	GCF_000317025.1	99.7
Prochlorococcus marinus AS9601	GCF_000015645.1	94.7
Prochlorococcus marinus MIT 9211	GCF_000018585.1	96
Prochlorococcus marinus MIT 9312	GCF_000012645.1	95.2
Prochlorococcus marinus str. MIT 9301	GCF_000015965.1	94.8
Prochlorococcus marinus str. MIT 9303	GCF_000015705.1	97.9
Prochlorococcus marinus str. NATL1A	GCF_000015685.1	94.5
Prochlorococcus marinus subsp. marinus str. CCMP1375	GCF_000007925.1	97.6
Prochlorococcus marinus subsp. pastoris str. CCMP1986	GCF_000011465.1	94.8
Prochloron didemni P3-Solomon	GCA_000252465.1	77.1
Prochloron didemni P4-Papua_New_Guinea	GCA_000252485.1	93.7
Prochlorothrix hollandica PCC 9006 = CALU 1027	GCF_000332315.1	98.9
Pseudanabaena biceps PCC 7429	GCF_000332215.1	96.2
Pseudanabaena sp. ABRG5-3	GCF_003967015.1	96.6
Pseudanabaena sp. PCC 6802	GCF_000332175.1	97.1
Pseudanabaena sp. PCC 7367	GCF_000317065.1	96.9
Richelia intracellularis HH01	GCF_000350105.1	89.9
Richelia intracellularis HM01	GCF_000350125.1	50.2
Richelia intracellularis RC01	GCA_000613065.1	87.4
Richelia sinica FACHB-800	GCF_019056575.1	99.8
Rippkaea orientalis PCC 8801	GCF_000021805.1	99.8
Rivularia sp. PCC 7116	GCF_000316665.1	99.6
Romeria aff. gracilis LEGE 07310	GCF_015207255.1	98.3
Roseofilum reptotaenium AO1-A	GCF_001890975.1	98.3
Rubidibacter lacunae KORDI 51-2	GCF_000473895.1	99.2
Scytonema sp. NIES-4073	GCF_002368435.1	99.4
Sphaerospermopsis aphanizomenoides BCCUSP55	GCF_001586785.1	99.1
Sphaerospermopsis kisseleviana NIES-73	GCF_002368075.1	99.1
Spirulina major PCC 6313	GCF_001890765.1	98.8
Spirulina subsalsa PCC 9445	GCF_000314005.1	98.8
Stanieria cyanosphaera PCC 7437	GCF_000317575.1	99.6
Stanieria sp. NIES-3757	GCF_002355455.1	99.8
Stigonema ocellatum SAG 48.90 = DSM 106950	GCA_016903675.1	97.7
Synechococcus elongatus PCC 7942 = FACHB-805	GCF_000012525.1	99.5
Synechococcus elongatus UTEX 2973	GCF_000817325.1	99.5
Synechococcus sp. 1G10	GCF_002252625.1	99.6
Synechococcus sp. 8F6	GCF_002252665.1	98.8
Synechococcus sp. BSA11S	GCF_014224355.1	99.7
Gloeomargarita(Synechococcus sp. C9)	"
GCF_022984075.1"	94.8
Synechococcus sp. CC9311	GCF_000014585.1	99.1
Synechococcus sp. CC9605	GCF_000012625.1	99.2
Synechococcus sp. JA-2-3B'a(2-13)	GCF_000013225.1	94.6
Synechococcus sp. JA-3-3Ab	GCF_000013205.1	94.3
Synechococcus sp. KORDI-100	GCF_000737535.1	99
